Body,Head,Head Coverage,Std_Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional_variable,PCA_valid,PCA_invalid,PCA_valid_proportion,PCA_invalid_proportion,Support_valid,Support_invalid,PCABody_valid,PCABody_invalid
?a  treatmentType  Immunotherapy   ,?a  hasAgeCategory  Old,0.448276,0.5,0.5,143,286,286,?a,0.461538462,0.538461538,0.461538462,0.538461538,66,77,143,143
?a  patientDrug  Pemetrexed   ,?a  hasRelapse_Progression  Progression,0.607143,1,1,187,187,187,?a,1,1,0.411764706,0.588235294,77,110,77,110
?a  patientDrug  Cisplatin   ,?a  hasRelapse_Progression  Progression,0.392857,1,1,121,121,121,?a,1,1,0.454545455,0.545454545,55,66,55,66
?a  patientDrug  Nivolumab   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Pembrolizumab   ,?a  hasRelapse_Progression  Progression,0.464286,1,1,143,143,143,?a,1,1,0.692307692,0.307692308,99,44,99,44
?a  patientDrug  Nivolumab   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Docetaxel   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a,1,1,0.5,0.5,44,44,44,44
?a  hasGender  Male   ,?a  hasAgeCategory  Old,0.275862,0.615385,0.615385,88,143,143,?a,0.666666667,0.571428571,0.5,0.5,44,44,66,77
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Old,0.172414,0.555556,0.555556,55,99,99,?a,1,0.333333333,0.6,0.4,33,22,33,66
?a  patientDrug  Atezolizumab   ,?a  hasRelapse_Progression  Progression,0.25,1,1,77,77,77,?a,1,1,0.285714286,0.714285714,22,55,22,55
?a  hasRelapse_Progression  Relapse   ,?a  hasRelapse_Progression  Progression,0.035714,1,1,11,11,11,?a,1,0,1,0,11,0,11,0
?a  hasStage  IVB   ,?a  hasRelapse_Progression  Progression,0.285714,0.888889,1,88,99,88,?a,1,1,0.625,0.375,55,33,55,33
?a  hasStage  IVA   ,?a  hasRelapse_Progression  Progression,0.178571,0.833333,1,55,66,55,?a,1,1,0.6,0.4,33,22,33,22
?a  hasBiomarker  ALK_Negative   ,?a  hasAgeCategory  Old,0.344828,0.5,0.5,110,220,220,?a,0.454545455,0.555555556,0.5,0.5,55,55,121,99
?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Old,0.275862,0.470588,0.470588,88,187,187,?a,0.428571429,0.5,0.375,0.625,33,55,77,110
?a  patientDrug  Vinorelbine   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a,0.666666667,0.6,0.4,0.6,22,33,33,55
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Old,0.241379,0.466667,0.466667,77,165,165,?a,0.555555556,0.333333333,0.714285714,0.285714286,55,22,99,66
?a  hasSmokingHabit  FormerSmoker   ,?a  hasRelapse_Progression  Progression,0.357143,0.909091,1,110,121,110,?a,1,1,0.4,0.6,44,66,44,66
?a  hasAgeCategory  Young   ,?a  hasRelapse_Progression  Progression,0.5,0.875,1,154,176,154,?a,1,1,0.5,0.5,77,77,77,77
?a  hasGender  Female   ,?a  hasAgeCategory  Old,0.172414,0.3125,0.3125,55,176,176,?a,0.25,0.375,0.4,0.6,22,33,88,88
?a  hasStage  IV   ,?a  hasRelapse_Progression  Progression,0.285714,1,1,88,88,88,?a,1,1,0.375,0.625,33,55,33,55
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasRelapse_Progression  Progression,0.285714,0.888889,1,88,99,88,?a,1,1,0.875,0.125,77,11,77,11
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Old,0.172414,0.416667,0.416667,55,132,132,?a,0.333333333,0.5,0.4,0.6,22,33,66,66
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasRelapse_Progression  Progression,0.214286,0.75,1,66,88,66,?a,1,1,0.333333333,0.666666667,22,44,22,44
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasRelapse_Progression  Progression,0.357143,0.833333,1,110,132,110,?a,1,1,0.5,0.5,55,55,55,55
?a  hasBiomarker  EGFR_Negative   ,?a  hasRelapse_Progression  Progression,0.392857,0.916667,0.916667,121,132,132,?a,0.909090909,1,0.909090909,0.090909091,110,11,121,11
?a  patientDrug  Vinorelbine   ,?a  hasRelapse_Progression  Progression,0.214286,0.75,0.75,66,88,88,?a,0.666666667,0.8,0.333333333,0.666666667,22,44,33,55
?a  hasBiomarker  ROS1_Negative   ,?a  hasRelapse_Progression  Progression,0.464286,0.764706,0.866667,143,187,165,?a,0.888888889,0.833333333,0.615384615,0.384615385,88,55,99,66
?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Old,0.172414,0.384615,0.384615,55,143,143,?a,0.555555556,0,1,0,55,0,99,44
?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Old,0.37931,0.44,0.44,121,275,275,?a,0.416666667,0.461538462,0.454545455,0.545454545,55,66,132,143
?a  hasStage  IV   ,?a  hasAgeCategory  Old,0.172414,0.625,0.625,55,88,88,?a,0.333333333,0.8,0.2,0.8,11,44,33,55
?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Old,0.344828,0.588235,0.588235,110,187,187,?a,0.571428571,0.6,0.4,0.6,44,66,77,110
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasAgeCategory  Old,0.103448,0.6,0.6,33,55,55,?a,1,0.333333333,0.666666667,0.333333333,22,11,22,33
?a  hasAgeCategory  Old   ,?a  hasRelapse_Progression  Progression,0.392857,0.846154,0.846154,121,143,143,?a,0.833333333,0.857142857,0.454545455,0.545454545,55,66,66,77
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasRelapse_Progression  Progression,0.25,0.777778,0.777778,77,99,99,?a,0.666666667,0.833333333,0.285714286,0.714285714,22,55,33,66
?a  hasBiomarker  ALK_Negative   ,?a  hasRelapse_Progression  Progression,0.571429,0.8,0.888889,176,220,198,?a,0.9,0.875,0.5625,0.4375,99,77,110,88
?a  hasBiomarker  EGFR_Positive   ,?a  hasRelapse_Progression  Progression,0.464286,0.8125,0.928571,143,176,154,?a,1,0.923076923,0.076923077,0.923076923,11,132,11,143
?a  hasGender  Male   ,?a  hasRelapse_Progression  Progression,0.428571,0.923077,0.923077,132,143,143,?a,0.833333333,1,0.416666667,0.583333333,55,77,66,77
?a  patientDrug  Carboplatin   ,?a  hasRelapse_Progression  Progression,0.535714,0.882353,0.882353,165,187,187,?a,0.857142857,0.9,0.4,0.6,66,99,77,110
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Old,0.37931,0.478261,0.478261,121,253,253,?a,0.5,0.461538462,0.454545455,0.545454545,55,66,110,143
?a  type  Patient   ,?a  hasAgeCategory  Old,0.448276,0.448276,0.448276,143,319,319,?a,0,0,0,0,0,0,0,0
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasRelapse_Progression  Progression,0.464286,0.866667,0.866667,143,165,165,?a,0.888888889,0.833333333,0.615384615,0.384615385,88,55,99,66
?a  patientDrug  Paclitaxel   ,?a  hasRelapse_Progression  Progression,0.285714,0.888889,0.888889,88,99,99,?a,0.8,1,0.5,0.5,44,44,55,44
?a  hasGender  Female   ,?a  hasRelapse_Progression  Progression,0.464286,0.8125,0.928571,143,176,154,?a,1,0.857142857,0.538461538,0.461538462,77,66,77,77
?a  patientDrug  Atezolizumab   ,?a  patientDrug  Cisplatin,0.02381,0.428571,0.428571,33,77,77,?a,1,0.2,0.666666667,0.333333333,22,11,22,55
?a  patientDrug  Nivolumab   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a,0,0,0,0,0,0,0,0
?a  hasStage  IV   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a,0.333333333,0.6,0.25,0.75,11,33,33,55
?a  patientDrug  Pembrolizumab   ,?a  patientDrug  Cisplatin,0.039683,0.384615,0.384615,55,143,143,?a,0.333333333,0.5,0.6,0.4,33,22,99,44
?a  hasStage  IVB   ,?a  patientDrug  Cisplatin,0.02381,0.333333,0.333333,33,99,99,?a,0.4,0.25,0.666666667,0.333333333,22,11,55,44
?a  hasBiomarker  PDL1_Positive   ,?a  hasRelapse_Progression  Progression,0.392857,0.785714,0.916667,121,154,132,?a,1,0.666666667,0.818181818,0.181818182,99,22,99,33
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasRelapse_Progression  Progression,0.75,0.913043,0.913043,231,253,253,?a,0.9,0.923076923,0.428571429,0.571428571,99,132,110,143
?a  treatmentType  Immunotherapy   ,?a  hasRelapse_Progression  Progression,0.857143,0.923077,0.923077,264,286,286,?a,0.923076923,0.923076923,0.5,0.5,132,132,143,143
?a  hasRelapse_Progression  Progression   ,?a  patientDrug  Cisplatin,0.087302,0.44,0.44,121,275,275,?a,0.416666667,0.461538462,0.454545455,0.545454545,55,66,132,143
?a  type  Patient   ,?a  hasRelapse_Progression  Progression,0.892857,0.862069,0.925926,275,319,297,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Carboplatin   ,?a  patientDrug  Cisplatin,0.02381,0.176471,0.176471,33,187,187,?a,0.142857143,0.2,0.333333333,0.666666667,11,22,77,110
?a  patientDrug  Paclitaxel   ,?a  patientDrug  Cisplatin,0.031746,0.444444,0.444444,44,99,99,?a,0.4,0.5,0.5,0.5,22,22,55,44
?a  patientDrug  Vinorelbine   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a,0.666666667,0.4,0.5,0.5,22,22,33,55
?a  hasGender  Female   ,?a  patientDrug  Cisplatin,0.031746,0.25,0.25,44,176,176,?a,0.25,0.25,0.5,0.5,22,22,88,88
?a  patientDrug  Docetaxel   ,?a  patientDrug  Cisplatin,0.031746,0.5,0.5,44,88,88,?a,0.75,0.25,0.75,0.25,33,11,44,44
?a  hasBiomarker  ALK_Negative   ,?a  patientDrug  Cisplatin,0.055556,0.35,0.35,77,220,220,?a,0.363636364,0.333333333,0.571428571,0.428571429,44,33,121,99
?a  hasSmokingHabit  FormerSmoker   ,?a  patientDrug  Cisplatin,0.031746,0.363636,0.363636,44,121,121,?a,0.2,0.5,0.25,0.75,11,33,55,66
?a  hasSmokingHabit  CurrentSmoker   ,?a  patientDrug  Cisplatin,0.047619,0.4,0.4,66,165,165,?a,0.444444444,0.333333333,0.666666667,0.333333333,44,22,99,66
?a  hasBiomarker  PDL1_Positive   ,?a  patientDrug  Cisplatin,0.02381,0.214286,0.214286,33,154,154,?a,0.3,0,1,0,33,0,110,44
?a  patientDrug  Pemetrexed   ,?a  patientDrug  Cisplatin,0.063492,0.470588,0.470588,88,187,187,?a,0.571428571,0.4,0.5,0.5,44,44,77,110
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  patientDrug  Cisplatin,0.031746,0.444444,0.444444,44,99,99,?a,0.5,0,1,0,44,0,88,11
?a  hasGender  Male   ,?a  patientDrug  Cisplatin,0.055556,0.538462,0.538462,77,143,143,?a,0.5,0.571428571,0.428571429,0.571428571,33,44,66,77
?a  treatmentType  Radiotherapy_To_Bone   ,?a  patientDrug  Cisplatin,0.02381,0.25,0.25,33,132,132,?a,0.166666667,0.333333333,0.333333333,0.666666667,11,22,66,66
?a  hasAgeCategory  Young   ,?a  patientDrug  Cisplatin,0.055556,0.4375,0.4375,77,176,176,?a,0.375,0.5,0.428571429,0.571428571,33,44,88,88
?a  hasBiomarker  EGFR_Positive   ,?a  patientDrug  Cisplatin,0.039683,0.3125,0.3125,55,176,176,?a,0,0.357142857,0,1,0,55,22,154
?a  hasBiomarker  EGFR_Negative   ,?a  patientDrug  Cisplatin,0.047619,0.5,0.5,66,132,132,?a,0.454545455,1,0.833333333,0.166666667,55,11,121,11
?a  patientDrug  Gemcitabine   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  hasBiomarker  ROS1_Negative   ,?a  patientDrug  Cisplatin,0.039683,0.294118,0.294118,55,187,187,?a,0.4,0.142857143,0.8,0.2,44,11,110,77
?a  type  Patient   ,?a  patientDrug  Cisplatin,0.087302,0.37931,0.37931,121,319,319,?a,0,0,0,0,0,0,0,0
?a  patientDrug  Durvalumab   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,1,1,33,33,33,?a,1,1,0.333333333,0.666666667,11,22,11,22
?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.545455,0.545455,66,121,121,?a,0.8,0.333333333,0.666666667,0.333333333,44,22,55,66
?a  patientDrug  Nivolumab   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.375,0.375,33,88,88,?a,0,0,0,0,0,0,0,0
?a  hasBiomarker  BRAF_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.75,0.75,33,44,44,?a,0.75,0,1,0,33,0,44,0
?a  hasBiomarker  EGFR_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.310345,0.75,0.75,99,132,132,?a,0.818181818,0,1,0,99,0,121,11
?a  treatmentType  Intravenous_Chemotherapy   ,?a  patientDrug  Cisplatin,0.079365,0.434783,0.434783,110,253,253,?a,0.4,0.461538462,0.4,0.6,44,66,110,143
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  patientDrug  Cisplatin,0.02381,0.375,0.375,33,88,88,?a,0.333333333,0.4,0.333333333,0.666666667,11,22,33,55
?a  patientDrug  Atezolizumab   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.428571,0.428571,33,77,77,?a,1,0.2,0.666666667,0.333333333,22,11,22,55
?a  treatmentType  Immunotherapy   ,?a  patientDrug  Cisplatin,0.079365,0.384615,0.384615,110,286,286,?a,0.384615385,0.384615385,0.5,0.5,55,55,143,143
?a  hasAgeCategory  Old   ,?a  patientDrug  Cisplatin,0.031746,0.307692,0.307692,44,143,143,?a,0.333333333,0.285714286,0.5,0.5,22,22,66,77
?a  hasStage  IV   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.375,0.375,33,88,88,?a,0.333333333,0.4,0.333333333,0.666666667,11,22,33,55
?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  CurrentSmoker,0.275862,0.615385,0.615385,88,143,143,?a,0.666666667,0.5,0.75,0.25,66,22,99,44
?a  hasStage  IVA   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.5,0.5,33,66,66,?a,0.5,0.5,0.666666667,0.333333333,22,11,44,22
?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  CurrentSmoker,0.172414,0.625,0.625,55,88,88,?a,0.75,0.5,0.6,0.4,33,22,44,44
?a  patientDrug  Carboplatin   ,?a  hasSmokingHabit  CurrentSmoker,0.37931,0.647059,0.647059,121,187,187,?a,0.857142857,0.5,0.545454545,0.454545455,66,55,77,110
?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.344828,0.588235,0.588235,110,187,187,?a,0.7,0.428571429,0.7,0.3,77,33,110,77
?a  hasBiomarker  ALK_Negative   ,?a  hasSmokingHabit  CurrentSmoker,0.448276,0.65,0.65,143,220,220,?a,0.818181818,0.444444444,0.692307692,0.307692308,99,44,121,99
?a  hasBiomarker  EGFR_Positive   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.375,0.375,66,176,176,?a,0,0.428571429,0,1,0,66,22,154
?a  hasBiomarker  PDL1_Positive   ,?a  hasSmokingHabit  CurrentSmoker,0.344828,0.714286,0.714286,110,154,154,?a,0.7,0.75,0.7,0.3,77,33,110,44
?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  CurrentSmoker,0.310345,0.529412,0.529412,99,187,187,?a,0.857142857,0.3,0.666666667,0.333333333,66,33,77,110
?a  hasStage  IVB   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.666667,0.666667,66,99,99,?a,0.8,0.5,0.666666667,0.333333333,44,22,55,44
?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  CurrentSmoker,0.206897,0.666667,0.666667,66,99,99,?a,0.8,0.5,0.666666667,0.333333333,44,22,55,44
?a  hasRelapse_Progression  Progression   ,?a  hasSmokingHabit  CurrentSmoker,0.448276,0.52,0.52,143,275,275,?a,0.666666667,0.384615385,0.615384615,0.384615385,88,55,132,143
?a  hasAgeCategory  Young   ,?a  hasSmokingHabit  CurrentSmoker,0.275862,0.5,0.5,88,176,176,?a,0.5,0.5,0.5,0.5,44,44,88,88
?a  hasGender  Female   ,?a  hasSmokingHabit  CurrentSmoker,0.241379,0.4375,0.4375,77,176,176,?a,0.5,0.375,0.571428571,0.428571429,44,33,88,88
?a  patientDrug  Vinorelbine   ,?a  hasSmokingHabit  CurrentSmoker,0.137931,0.5,0.5,44,88,88,?a,1,0.2,0.75,0.25,33,11,33,55
?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  hasSmokingHabit  CurrentSmoker,0.103448,0.6,0.6,33,55,55,?a,1,0.333333333,0.666666667,0.333333333,22,11,22,33
